number_of_people,latitude,longitude
15,60.49847548123263,5.440642126277141
9,60.49742296048704,5.432744975666732
14,60.49742296048704,5.440529393170196
12,60.49426547241776,5.469770193623344
6,60.493213001114555,5.469656882296424
7,60.491108095583144,5.495894015534111
5,60.4995280143408,5.3706922069642475
32,60.4995280143408,5.372249154987719
5,60.49847548123263,5.362796338234829
5,60.49847548123263,5.37058091703906
6,60.49847548123263,5.372137832799907
10,60.48900323947983,5.203020761823659
7,60.48900323947983,5.204577387332057
8,60.48900323947983,5.206134012840456
11,60.48900323947983,5.207690638348856
12,60.48795082996174,5.204469599832647
15,60.48795082996174,5.206026193103122
5,60.48795082996174,5.207582786373598
6,60.48584604798871,5.204254049592859
8,60.48584604798871,5.207367107196923
7,60.48584604798871,5.208923635998954
5,60.484793675532195,5.204146286850514
29,60.484793675532195,5.2057027834220255
18,60.484793675532195,5.207259279993537
12,60.484793675532195,5.208815776565049
28,60.484793675532195,5.211928769708074
5,60.484793675532195,5.219711252565634
26,60.48374131542797,5.204038532358558
32,60.48374131542797,5.205594996702019
35,60.48374131542797,5.207151461045479
5,60.48374131542797,5.208707925388938
10,60.48268896767521,5.21015651458751
7,60.48268896767521,5.219495107294762
8,60.48163663227315,5.211605047595669
5,60.48163663227315,5.214717847385184
5,60.48163663227315,5.220943446964214
14,60.480584309221015,5.205271686049304
12,60.480584309221015,5.206828053723411
7,60.480584309221015,5.21616625976805
36,60.480584309221015,5.220835362790369
13,60.47953199851795,5.20516393233089
18,60.47953199851795,5.206720267786812
14,60.47953199851795,5.214501945066421
23,60.47953199851795,5.2160582805223425
19,60.47953199851795,5.217614615978264
5,60.47953199851795,5.219170951434187
23,60.47953199851795,5.22228362234603
11,60.47953199851795,5.223839957801952
6,60.478479700163255,5.203499883620215
5,60.478479700163255,5.211281399821233
28,60.478479700163255,5.212837703061436
16,60.478479700163255,5.214394006301639
58,60.478479700163255,5.215950309541843
11,60.478479700163255,5.217506612782046
8,60.47742741415605,5.201835907583004
10,60.47742741415605,5.203392178609955
26,60.47742741415605,5.211173533744709
20,60.47742741415605,5.2127298047716595
27,60.47742741415605,5.2142860757986105
7,60.47742741415605,5.215842346825562
5,60.47742741415605,5.217398617852512
13,60.47637514049562,5.209509437107861
8,60.47637514049562,5.211065675924025
52,60.47637514049562,5.214178153556352
10,60.47637514049562,5.215734392372515
8,60.47637514049562,5.217290631188678
27,60.47532287918112,5.2140702395738785
14,60.47427063021176,5.218630857056163
21,60.47427063021176,5.220187031458148
5,60.473218393586805,5.212298294185764
8,60.473218393586805,5.220079005178728
6,60.472166169305396,5.219970987165999
6,60.47111395736681,5.2198629774189795
7,60.47006175777018,5.221311021539884
13,60.469009570514785,5.222759009537454
29,60.469009570514785,5.225871036356782
19,60.467957395599804,5.225762922636689
15,60.46690523302444,5.216319123008337
6,60.46690523302444,5.217875072038318
56,60.46690523302444,5.222542919128258
16,60.46690523302444,5.224098868158238
5,60.46585308278792,5.220878969478892
54,60.46585308278792,5.2224348863227235
41,60.46585308278792,5.223990803166556
7,60.464800944889454,5.220770977121771
35,60.464800944889454,5.2223268617819185
20,60.464800944889454,5.223882746442065
16,60.464800944889454,5.225438631102211
11,60.463748819328245,5.223774697983782
11,60.463748819328245,5.22844225542055
6,60.463748819328245,5.2299981078994735
10,60.46164460521438,5.228225990233482
15,60.46164460521438,5.229781778357343
18,60.46164460521438,5.231337566481204
12,60.46164460521438,5.232893354605064
10,60.46164460521438,5.234449142728924
6,60.46059251666021,5.228117870046402
20,60.46059251666021,5.229673625996424
17,60.46059251666021,5.231229381946444
14,60.46059251666021,5.232785137896466
13,60.46059251666021,5.234340893846487
8,60.4595404404401,5.234232653243548
9,60.4595404404401,5.23578837702219
5,60.45848837655334,5.227901654480223
38,60.45848837655334,5.231013037699673
7,60.495317956080406,5.259712950276674
47,60.495317956080406,5.261269769264472
5,60.495317956080406,5.2628265882522705
42,60.49426547241776,5.259603984390626
52,60.49426547241776,5.261160771125683
33,60.49426547241776,5.26271755786074
47,60.493213001114555,5.261051781335069
46,60.493213001114555,5.262608535819855
44,60.493213001114555,5.264165290304641
7,60.493213001114555,5.2657220447894275
23,60.49216054216993,5.2609427998916285
12,60.49216054216993,5.262499522128613
22,60.49216054216993,5.264056244365599
20,60.49216054216993,5.265612966602585
10,60.49216054216993,5.267169688839569
5,60.49216054216993,5.268726411076554
7,60.491108095583144,5.268617276752641
16,60.491108095583144,5.270173966744294
8,60.491108095583144,5.271730656735949
24,60.49005566135336,5.262281519791093
7,60.49005566135336,5.263838177539884
7,60.49005566135336,5.270064808535052
10,60.49005566135336,5.273178124032635
33,60.48900323947983,5.266842407668018
49,60.48900323947983,5.268399033176416
8,60.48900323947983,5.2699556586848155
23,60.48689843279829,5.2744070671624375
19,60.48689843279829,5.275963628197457
15,60.48689843279829,5.277520189232476
44,60.4995280143408,5.37380610301119
24,60.4995280143408,5.378476947081603
8,60.49847548123263,5.376808580082446
5,60.49847548123263,5.378365495843291
10,60.49847548123263,5.379922411604138
7,60.49742296048704,5.378254053142491
25,60.49742296048704,5.379810936643185
5,60.49742296048704,5.382924703644569
7,60.49637045210325,5.381256321464203
11,60.49637045210325,5.382813172707213
16,60.49637045210325,5.387483726436242
5,60.495317956080406,5.390485745251734
5,60.49426547241776,5.385703709930257
8,60.493213001114555,5.385592140117968
6,60.493213001114555,5.3871488946027535
5,60.493213001114555,5.38870564908754
