stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:100756,Gåssand,60.254655,5.484146,,,NSR:StopPlace:59028,,700,
NSR:Quay:100761,Halhjem kai,60.146198,5.427726,,,NSR:StopPlace:28940,,700,
NSR:Quay:100791,Norheimsund fv. 49,60.372575,6.140384,,,NSR:StopPlace:33343,,700,
NSR:Quay:100856,Krossen,60.417369,7.126911,,,NSR:StopPlace:31249,,700,
NSR:Quay:100916,Valvatne snuplass,59.765064,5.437355,,,NSR:StopPlace:59106,,700,
NSR:Quay:100917,Tjødnalio skule snuplass,59.770656,5.408221,,,NSR:StopPlace:59107,,700,
NSR:Quay:100940,Kvednaneset,59.510383,5.326545,,,NSR:StopPlace:30643,,700,
NSR:Quay:100941,Vigdarheim kryss,59.503294,5.342984,,,NSR:StopPlace:30646,,700,
NSR:Quay:100942,Hokla Tveitveien,59.526331,5.336968,,,NSR:StopPlace:30680,,700,
NSR:Quay:100943,Tveit,59.514503,5.353547,,,NSR:StopPlace:30664,,700,
NSR:Quay:100944,Tveit nord,59.519331,5.354349,,,NSR:StopPlace:30678,,700,
NSR:Quay:100945,Tveit sør,59.510488,5.348947,,,NSR:StopPlace:30649,,700,
NSR:Quay:100946,Rophus snuplass,59.489617,5.300871,,,NSR:StopPlace:59110,,700,
NSR:Quay:100951,Steine  Etne,59.656856,5.986948,,,NSR:StopPlace:59112,,700,
NSR:Quay:100954,Hjellestadskiftet,60.263506,5.256550,,,NSR:StopPlace:31726,,700,
NSR:Quay:100955,Bruland,60.262842,5.421820,,,NSR:StopPlace:29879,,700,
NSR:Quay:100956,Framnes,60.263802,5.416474,,,NSR:StopPlace:29882,,700,
NSR:Quay:100957,Leirvåg,60.263705,5.408119,,,NSR:StopPlace:29891,,700,
NSR:Quay:100958,Kismul,60.265582,5.402696,,,NSR:StopPlace:29896,,700,
NSR:Quay:100959,Ånes,60.268338,5.368873,,,NSR:StopPlace:59114,,700,
